Global Volcanism Program - Volcanoes of the World 4.8.6,,,Basic List of Pleistocene Volcanoes,,Downloaded on 05 Mar 2020 at 10:51 AM,,,,,,,
Volcano Number,Volcano Name,Country,Primary Volcano Type,Activity Evidence,Last Known Eruption,Region,Subregion,Latitude,Longitude,Elevation (m),Dominant Rock Type,Tectonic Setting
210801,South Harghita Mountains,Romania,Lava dome(s),,,Mediterranean and Western Asia,Western Europe,46.13,25.88,1289,,Intraplate / Continental crust (>25 km)
210802,Persani Mountains,Romania,Volcanic field,,,Mediterranean and Western Asia,Western Europe,45.982,25.339,623,,Intraplate / Continental crust (>25 km)
210803,Apuseni Mountains,Romania,Volcanic field,,,Mediterranean and Western Asia,Western Europe,45.93,22.88,353,,Intraplate / Continental crust (>25 km)
210804,Lucaret Basalts,Romania,Fissure vent,,,Mediterranean and Western Asia,Western Europe,45.826,21.69,190,,Intraplate / Continental crust (>25 km)
210805,Bakony-Balaton Highland,Hungary,Volcanic field,,,Mediterranean and Western Asia,Western Europe,46.92,17.63,600,,Intraplate / Continental crust (>25 km)
210806,Little Hungarian Plain,Hungary,Volcanic field,,,Mediterranean and Western Asia,Western Europe,47.192,17.2,433,,Intraplate / Continental crust (>25 km)
210807,Nograd-Southern Slovakia,Hungary-Slovakia,Volcanic field,,,Mediterranean and Western Asia,Western Europe,48.159,19.79,720,,Intraplate / Continental crust (>25 km)
210809,Central Slovakia,Slovakia,Volcanic field,,,Mediterranean and Western Asia,Western Europe,48.403,18.877,1009,,Intraplate / Continental crust (>25 km)
210810,Bruntal Volcanic Field,Czech Republic,Volcanic field,,,Mediterranean and Western Asia,Western Europe,49.88,17.475,780,,Intraplate / Continental crust (>25 km)
210811,Cheb Basin,Czech Republic,Volcanic field,,,Mediterranean and Western Asia,Western Europe,49.97,12.392,585,,Intraplate / Continental crust (>25 km)
210812,East Eifel Volcanic Field,Germany,Maar(s),,,Mediterranean and Western Asia,Western Europe,50.4,7.325,588,,Rift zone / Continental crust (>25 km)
