Global Volcanism Program - Volcanoes of the World 4.8.6,,,,Downloaded on 05 Mar 2020 at 08:30 AM,
Volcano Number,Volcano Name,Author,Publication Year,Title,Source
210010,West Eifel Volcanic Field,"Buchel G, Lorenz V",1982,Zum Alter des Maarvulkanismus der Westeifel,"Neues Jahrb Geol Palaont Abh, 163: 1-22"
210010,West Eifel Volcanic Field,"Keyser M, Ritter J R R, Jordan M",2002,"3D shear-wave velocity structure of the Eifel plume, Germany","Earth Planet Sci Lett, 203: 59-82"
210010,West Eifel Volcanic Field,Krafft M,1974,Guide des Volcans d'Europe,"Neuchatel: Delachaux & Niestle, 412 p"
210010,West Eifel Volcanic Field,"Mertes H, Schmincke H-U",1983,Age distribution of volcanoes in the West-Eifel,"Neues Jahrb Geol Palaont Monatsh, 166: 260-293"
210010,West Eifel Volcanic Field,"Ritter J R R, Jordan M, Christensen U R, Achauer U",2000,"A mantle plume below the Eifel volcanic fields, Germany","Earth Planet Sci Lett, 186: 7-14"
210010,West Eifel Volcanic Field,Rutten M G,1969,The Geology of Western Europe,"Amsterdam: Elsevier, 520 p"
210010,West Eifel Volcanic Field,Shaw C S J,2004,"The temporal evolution of three magmatic systems in the West Eifel volcanic field, Germany","J. Volcanol. Geotherm. Res., 131: 213-240"
210010,West Eifel Volcanic Field,"Shaw C S J, Woodland A B, Hopp J, Trenholm N D",2010,"Structure and evolution of the Rockeskyllerkopf Volcanic Complex, West Eifel Volcanic Field, Germany","Bull Volcanol, 72: 971-990"
210010,West Eifel Volcanic Field,"Shaw, C S J, and Woodland, A B",2012,"The role of magma mixing in the petrogenesis of mafic alkaline lavas, Rockeskyllerkopf Volcanic Complex, West Eifel, Germany","Bull Volcanol, 74: 359-376"
210010,West Eifel Volcanic Field,"Zolitschka B, Negendank J F W, Lottermoser B G",1995,"Sedimentological proof and dating of the early Holocene volcanic eruption of Ulmener Maar (Vulkaneifel, Germany)","Geol Rundschau, 84: 213-219"
210020,Chaine des Puys,Brousse R,1973,Le volcanisme Quaternaire en France-chronologie des differentes phase eruptives de la Chaine des Puys au Quaternaire recent,"Internatl Quat Assoc (INQUA) Cong, 9: 105-109"
210020,Chaine des Puys,Geunet P,1986,"Datation par l'analyse pollinique de l'explosion des volcans du groupe Pavin (Besse-en-Chandesse, Puy-de-Dome, France)","11 Reun Ann Sci Terre, Clermont-Ferrand, Ed Soc Geol France, p 85"
210020,Chaine des Puys,Guerin G,1989,"La thermoluminescence des plagioclases, methode de datation du volcanisme. Application au domaine volcanique Francais: Chaine des Puys, Monts-Dore, Cezallier, Bas-Vivarais","Unpublished PhD thesis, Univ Pierre et Marie Curie, 253 p"
210020,Chaine des Puys,"Hetier J M, Guillet B, Brousse R, Delibrias G, Maury R C",1983,14-C dating of buried soils in the volcanic Chaine des Puys (France),"Bull Volcanol, 46: 193-202"
210020,Chaine des Puys,"Juvigne E, Bastin B, Beaulieu J L de, Etlicher M, Gewelt M, Gilot E, Goeury C, Janssen C R, Milcamps V, Van Leeuwen J",1990,Tephrostratigraphy of the late glacial and the Holocene of the French Massif Central based on investigations in peat-bogs,"IAVCEI 1990 Internatl Volc Cong, Mainz, Abs, (unpaginated)"
210020,Chaine des Puys,Krafft M,1974,Guide des Volcans d'Europe,"Neuchatel: Delachaux & Niestle, 412 p"
210020,Chaine des Puys,"Pelletier H, Delibrias G, Labeyrie J, Perquis M T, Rudel A",1959,Mesure de l'age d'une des coulees volcaniques issues du Puy de la Vache (Puy de Dome) par la methode du carbone 14,"CR Acad Sci Paris, Series-D, 214: 2221"
210020,Chaine des Puys,Rutten M G,1969,The Geology of Western Europe,"Amsterdam: Elsevier, 520 p"
210020,Chaine des Puys,"de Goer A, Boivin P, Camus G, Gourgaud A, Kieffer G, Mergoil J, Vincent P M",1991,Volcanologie de la Chaine des Puys,"Paris: Inst Geog Natl, 127 p and 1:25,000 geol map"
210040,Calatrava Volcanic Field,"Gonzalez Cardenas E, Gosalvez Rey R U, Escobar Lahoz E, Becerra Ramirez R",2007,"Condiciones medioambientales en el Holoceno medio del Campo de Calatrava (Ciudad Real, Espana): resultados preliminares","Actas Cong Nac Biogeogr, in press"
210040,Calatrava Volcanic Field,IAVCEI,1973-80,Post-Miocene Volcanoes of the World,"IAVCEI Data Sheets, Rome: Internatl Assoc Volc Chemistry Earth's Interior"
210040,Calatrava Volcanic Field,"Lopez-Ruiz J, Maria Cebria J, Doblas M",2002,Cenozoic volcanism I: the Iberian peninsula,"In: Gibbons W, Moreno T (eds) {The Geology of Spain}, Geol Soc London, 649 p"
